Site,Plot,Name,Point,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name,Notes
A,CO,ACO,c,ACO3,,,,,plot,-105.5902338,40.06136471,3453.61,Global,0.01,0.01,0.013,0.014,1.934,m,FIX,2023-09-29 10:45:53.4 UTC-06:00,2023-09-29 10:45:53.4 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,20.909,Global CS,
A,CO,ACO,d,ACO4,,,,,plot,-105.5902775,40.06144335,3451.896,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:46:04.0 UTC-06:00,2023-09-29 10:46:04.0 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,22.681,Global CS,
A,CO,ACOT1,top,ACOT1_top,,,,,transect,-105.5906283,40.06120408,3462.107,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:40:59.0 UTC-06:00,2023-09-29 10:40:59.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,18.697,Global CS,
A,CO,ACOT2,top,ACOT2_top,,,,,transect,-105.5906392,40.06121997,3462.068,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:41:13.4 UTC-06:00,2023-09-29 10:41:13.4 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,18.437,Global CS,
A,CO,ACOT1,bottom,ACOT1,,,,,transect,-105.5902304,40.0613763,3453.33,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:46:26.6 UTC-06:00,2023-09-29 10:46:26.6 UTC-06:00,1,1,,,,-105.590461,40.06130576,3459.777,21.667,Global CS,
A,CO,ACOT2,bottom,ACOT2,,,,,transect,-105.5902418,40.06139093,3452.793,Global,0.01,0.01,0.014,0.014,1.934,m,FIX,2023-09-29 10:46:36.0 UTC-06:00,2023-09-29 10:46:36.0 UTC-06:00,1,1.1,,,,-105.590461,40.06130576,3459.777,21.568,Global CS,
A,CO,ACO_soil,8,ACO_soil4,,,,,soil,-105.5903835,40.06133885,3456.294,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:47:09.6 UTC-06:00,2023-09-29 10:47:09.6 UTC-06:00,1,1.3,,,,-105.590461,40.06130576,3459.777,7.725,Global CS,
A,CO,ACO_soil,7,ACO_soil3,,,,,soil,-105.5904212,40.06132291,3456.964,Global,0.01,0.01,0.011,0.014,1.934,m,FIX,2023-09-29 10:47:20.0 UTC-06:00,2023-09-29 10:47:20.0 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,3.999,Global CS,
A,CO,ACO_soil,6,ACO_soil2,,,,,soil,-105.590478,40.06129372,3458.177,Global,0.01,0.01,0.012,0.014,1.934,m,FIX,2023-09-29 10:47:31.6 UTC-06:00,2023-09-29 10:47:31.6 UTC-06:00,1,1.5,,,,-105.590461,40.06130576,3459.777,1.998,Global CS,
A,CO,ACO_soil,5,ACO_soil1,,,,,soil,-105.5905682,40.06125306,3460.323,Global,0.01,0.01,0.01,0.014,1.934,m,FIX,2023-09-29 10:47:44.2 UTC-06:00,2023-09-29 10:47:44.2 UTC-06:00,1,1.2,,,,-105.590461,40.06130576,3459.777,11.141,Global CS,
